Dependencia,Modalidad,Clave,Programa,Categorización Enfoque de Resultados en el Propósito (ER),Categorización Medición de Resultados (MR),Categorización Asociación Lógica (AL)
CULTURA,S,S268,Programa de Apoyos a la Cultura,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
CULTURA,E,E012,Protección y conservación del Patrimonio Cultural,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
CULTURA,E,E022,Servicios Cinematográficos,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
CULTURA,E,E042,Servicios educativos culturales y artísticos,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
CULTURA,S,S057,Programas del Fondo Nacional de Fomento a las Artesanías (FONART),El programa cuenta con Enfoque de Resultados,El programa no mide resultados,Existe asociación lógica entre los componentes y el objetivo central
CULTURA,S,S303,Programa Nacional de Becas Artísticas y Culturales,El programa debe mejorar su Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
ECONOMIA,B,B002,Generación y difusión de información para el consumidor,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
ECONOMIA,E,E005,Protección de los derechos de los consumidores,El programa cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
ECONOMIA,S,S220,Programa para la Productividad y Competitividad Industrial,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
ECONOMIA,U,U007,Programa de Apoyo Financiero a Microempresas Familiares,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
IMSS-BIENESTAR,S,S038,Programa IMSS-BIENESTAR,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
INPI,S,S178,Programa de Apoyo a la Educación Indígena,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
INPI,S,S249,Programa para el Bienestar Integral de los Pueblos Indígenas,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
INMUJERES,S,S010,Fortalecimiento a la Transversalidad de la Perspectiva de Género,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
IMSS,E,E001,Prevención y control de enfermedades,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
IMSS,E,E003,Atención a la Salud en el Trabajo,El programa cuenta con Enfoque de Resultados,El programa no mide resultados,Existe asociación lógica entre los componentes y el objetivo central
IMSS,E,E004,Investigación y desarrollo tecnológico en salud,El programa debe mejorar su Enfoque de Resultados,El programa mide adecuadamente sus resultados,No existe asociación lógica entre los componentes y el objetivo central
IMSS,E,E007,Servicios de guardería,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
IMSS,E,E011,Atención a la Salud,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
IMSS,E,E012,Prestaciones sociales,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
ISSSTE,E,E015,Investigación y Desarrollo Tecnológico en Salud,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
ISSSTE,E,E036,Equidad de Género,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
ISSSTE,E,E042,Atención a Personas con Discapacidad,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
ISSSTE,E,E018,Suministro de Claves de Medicamentos,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
ISSSTE,E,E043,Prevención y Control de Enfermedades,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
ISSSTE,E,E044,Atención a la Salud,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
ISSSTE,E,E046,"Servicios Deportivos, Culturales, Turísticos y Funerarios",El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
ISSSTE,E,E048,Servicios de Estancias de Bienestar y Desarrollo Infantil,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
ISSSTE,E,E049,Servicios Integrales a Pensionados,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
SALUD,E,E010,Formación y capacitación de recursos humanos para la salud,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SALUD,E,E022,Investigación y desarrollo tecnológico en salud,El programa debe mejorar su Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SALUD,E,E023,Atención a la Salud,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SALUD,E,E025,Prevención y atención contra las adicciones,El programa cuenta con Enfoque de Resultados,El programa no mide resultados,Existe asociación lógica entre los componentes y el objetivo central
SALUD,E,E036,Programa de vacunación,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Existe asociación lógica entre los componentes y el objetivo central
SALUD,E,E040,Servicios de asistencia social integral,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SALUD,E,E041,"Protección y restitución de los derechos de las niñas, niños y adolescentes",El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
SALUD,S,S039,Programa de Atención a Personas con Discapacidad,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SALUD,U,U009,Vigilancia epidemiológica,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
SALUD,U,U012,Fortalecimiento de los Servicios Estatales de Salud,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
SALUD,S,S200,Fortalecimiento a la atención médica,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SALUD,S,S202,Calidad en la Atención Médica,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Existe asociación lógica entre los componentes y el objetivo central
SALUD,U,U008,"Prevención y Control de Sobrepeso, Obesidad y Diabetes",El programa cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,No existe asociación lógica entre los componentes y el objetivo central
SALUD,U,U013,Atención a la Salud y Medicamentos Gratuitos para la Población sin Seguridad Social Laboral,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,No existe asociación lógica entre los componentes y el objetivo central
SADER,S,S290,Precios de Garantía a Productos Alimentarios Básicos,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SADER,S,S292,Fertilizantes,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SADER,S,S293,Producción para el Bienestar,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SADER,B,B004,Adquisición de leche nacional,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SADER,E,E001,"Desarrollo, aplicación de programas educativos e investigación en materia agroalimentaria",El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SADER,E,E006,Generación de Proyectos de Investigación,El programa debe mejorar su Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SADER,S,S052,"Programa de Abasto Social de Leche a cargo de Liconsa, S.A. de C.V.",El programa cuenta con Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SADER,S,S053,"Programa de Abasto Rural a cargo de Diconsa, S.A. de C.V. (DICONSA)",El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SADER,S,S263,Sanidad e Inocuidad Agroalimentaria,El programa debe mejorar su Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SADER,S,S304,"Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuicultura",El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEDATU,U,U003,Programa de modernización de los registros públicos de la propiedad y catastros,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEDATU,E,E003,Ordenamiento y regulación de la propiedad rural,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEDATU,S,S177,Programa de Vivienda Social,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEDATU,S,S213,Programa para Regularizar Asentamientos Humanos,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEDATU,S,S281,Programa Nacional de Reconstrucción,El programa no cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEDATU,S,S273,Programa de Mejoramiento Urbano (PMU),El programa cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEMARNAT,E,E014,Protección Forestal,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEMARNAT,E,E005,Capacitación Ambiental y Desarrollo Sustentable,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEMARNAT,E,E009,Investigación científica y tecnológica,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEMARNAT,E,E015,"Investigación en Cambio Climático, Sustentabilidad y Crecimiento Verde",El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEMARNAT,E,E016,Conservación y Manejo de Áreas Naturales Protegidas,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEMARNAT,S,S046,Programa de Conservación para el Desarrollo Sostenible,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEMARNAT,S,S219,Apoyos para el Desarrollo Forestal Sustentable,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEMARNAT,S,S074,"Agua Potable, Drenaje y Tratamiento",El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEMARNAT,S,S217,Programa de Apoyo a la Infraestructura Hidroagrícola,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEMARNAT,U,U040,Programa para la Protección y Restauración de Ecosistemas y Especies Prioritarias,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,B,B003,Producción y distribución de libros y materiales educativos,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E010,Servicios de Educación Superior y Posgrado,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E011,Desarrollo Cultural,El programa debe mejorar su Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,U,U006,Subsidios para organismos descentralizados estatales,El programa no cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,S,S243,Programa de Becas Elisa Acuña,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,S,S247,Programa para el Desarrollo Profesional Docente,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,S,S270,Programa Nacional de Inglés,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,S,S295,Fortalecimiento de los Servicios de Educación Especial (PFSEE),El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E039,Registro Nacional de Profesionistas y sus Asociaciones,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E068,Educación Física de Excelencia,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E007,Servicios de Educación Media Superior,El programa cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,E,E013,Producción y transmisión de materiales educativos,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,E,E016,Producción y distribución de libros y materiales culturales,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,E,E017,Atención al deporte,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E021,Investigación Científica y Desarrollo Tecnológico,El programa no cuenta con Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E028,Normalización y certificación en competencias laborales,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E032,Políticas de igualdad de género en el sector educativo,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E047,Programa de mantenimiento e infraestructura física educativa,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E064,Educación para Adultos (INEA),El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,E,E066,Educación Inicial y Básica Comunitaria,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,S,S269,Programa de Cultura Física y Deporte,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,U,U031,Expansión de la Educación Inicial,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,U,U080,Apoyos a centros y organizaciones de educación,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,U,U282,La Escuela es Nuestra,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,S,S298,Atención de Planteles Federales de Educación Media Superior con estudiantes con discapacidad (PAPFEMS),El programa debe mejorar su Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
SEP,S,S300,Fortalecimiento a la Excelencia Educativa,El programa debe mejorar su Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,No existe asociación lógica entre los componentes y el objetivo central
SEP,S,S072,Programa de Becas de Educación Básica para el Bienestar Benito Juárez,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,S,S283,Jóvenes Escribiendo el Futuro,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,S,S311,Beca Universal para Estudiantes de Educación Media Superior Benito Juárez,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
SEP,U,U083,Universidades para el Bienestar Benito Juárez García,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
STPS,E,E003,Ejecución de los programas y acciones de la Política Laboral,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,No existe asociación lógica entre los componentes y el objetivo central
STPS,E,E004,Capacitación para Incrementar la Productividad,El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
STPS,E,E005,Ejecución a nivel nacional de acciones de promoción y vigilancia de los derechos laborales,El programa cuenta con Enfoque de Resultados,El programa debe ajustar sus indicadores para medir adecuadamente sus resultados,No existe asociación lógica entre los componentes y el objetivo central
STPS,S,S043,Programa de Apoyo al Empleo (PAE),El programa cuenta con Enfoque de Resultados,El programa mide adecuadamente sus resultados,Existe asociación lógica entre los componentes y el objetivo central
STPS,S,S280,Jóvenes Construyendo el Futuro,El programa debe mejorar su Enfoque de Resultados,El programa no mide resultados,Debe fortalecer la asociación lógica entre los componentes y el objetivo central
